game,eta,n_train,method,sample,error
0,0.0,2,SUB,0,0.7953679235066343
0,0.0,2,SUB,1,0.5737348882398847
0,0.0,2,SUB,2,0.8398676218375802
0,0.0,2,SUB,3,0.580603340781917
0,0.0,2,SUB,4,0.8768746945911525
0,0.0,2,SUB,5,0.4226188327692741
0,0.0,2,SUB,6,0.7714892034976053
0,0.0,2,SUB,7,0.04940835203862405
0,0.0,2,SUB,8,0.8307104882495335
0,0.0,2,SUB,9,0.25016919191889875
0,0.0,2,SUB,10,0.7331375258840854
0,0.0,2,SUB,11,0.8990843769996082
0,0.0,2,SUB,12,0.7195740665592087
0,0.0,2,SUB,13,0.8257831932943908
0,0.0,2,SUB,14,0.4494415294574416
0,0.0,2,SUB,15,0.8366041169810553
0,0.0,2,SUB,16,0.3979884288049923
0,0.0,2,SUB,17,0.3588982199294223
0,0.0,2,SUB,18,0.4450668325065615
0,0.0,2,SUB,19,0.7004301579508482
0,0.0,2,SUB,20,0.6188852539420385
0,0.0,2,SUB,21,0.29805345186100624
0,0.0,2,SUB,22,0.38308266731640495
0,0.0,2,SUB,23,0.855251560904915
0,0.0,2,SUB,24,0.7972873156122084
0,0.0,2,SUB,25,0.5894331137919614
0,0.0,2,SUB,26,0.7467730370722208
0,0.0,2,SUB,27,0.9568728819512824
0,0.0,2,SUB,28,0.1779706769245824
0,0.0,2,SUB,29,0.7452946832220784
0,0.0,2,SUB,30,0.5453002515584134
0,0.0,2,SUB,31,0.8765276080311153
0,0.0,2,SUB,32,0.9068709645184069
0,0.0,2,SUB,33,0.46456809508690233
0,0.0,2,SUB,34,0.8726256563451352
0,0.0,2,SUB,35,0.4588333298524627
0,0.0,2,SUB,36,0.5881705813282224
0,0.0,2,SUB,37,0.29811540410094134
0,0.0,2,SUB,38,0.24451819050426232
0,0.0,2,SUB,39,0.23292979188982688
0,0.0,2,SUB,40,0.3785602128746803
0,0.0,2,SUB,41,0.8319744549750859
0,0.0,2,SUB,42,0.24001869753661667
0,0.0,2,SUB,43,0.6040689704180736
0,0.0,2,SUB,44,0.667725681348012
0,0.0,2,SUB,45,0.626063869373006
0,0.0,2,SUB,46,0.1908486223133207
0,0.0,2,SUB,47,0.4055186111523691
0,0.0,2,SUB,48,0.3760933782238261
0,0.0,2,SUB,49,0.2027906126454051
0,0.0,2,SUB,50,0.7899975291666458
0,0.0,2,SUB,51,0.876011319748558
0,0.0,2,SUB,52,0.11176670874700216
0,0.0,2,SUB,53,0.629280427728589
0,0.0,2,SUB,54,0.5909234524210512
0,0.0,2,SUB,55,0.27146140756567594
0,0.0,2,SUB,56,0.8192786316440609
0,0.0,2,SUB,57,0.6142575850848015
0,0.0,2,SUB,58,0.7023720892059666
