game,eta,n_train,method,test_median
0,0.0,2,SUB,0.61657141951342
0,0.0,2,VI,0.6283180038540206
0,0.0,5,SUB,0.039915738945121154
0,0.0,5,VI,0.002613566822442641
0,0.0,10,SUB,0.018095365342551406
0,0.0,10,VI,0.00023101843087319947
0,0.0,20,SUB,0.015243217015063192
0,0.0,20,VI,0.0003919332653571502
0,0.0,30,SUB,0.017414905241614813
0,0.0,30,VI,7.079045443363663e-05
0,0.5,2,SUB,0.6530059088513807
0,0.5,2,VI,0.9724883857310243
0,0.5,5,SUB,0.35320574576945263
0,0.5,5,VI,2.029005706852027
0,0.5,10,SUB,0.26432109914778357
0,0.5,10,VI,2.0240756411857355
0,0.5,20,SUB,0.15467964791718586
0,0.5,20,VI,2.044664642605204
0,0.5,30,SUB,0.18993739896103567
0,0.5,30,VI,1.9855472769202682
1,0.0,2,SUB,0.6457016329483881
1,0.0,2,VI,0.3155254258747767
1,0.0,5,SUB,0.06816699245590557
1,0.0,5,VI,0.03681398787794255
1,0.0,10,SUB,0.028014380045199606
1,0.0,10,VI,0.0005590403067053113
1,0.0,20,SUB,0.02482713410411603
1,0.0,20,VI,0.00019816916173868358
1,0.0,30,SUB,0.023582896676991386
1,0.0,30,VI,6.676788682217217e-05
1,0.5,2,SUB,0.5814127789776748
1,0.5,2,VI,0.8455281914422723
1,0.5,5,SUB,0.3432486936702894
1,0.5,5,VI,1.9789099201245128
1,0.5,10,SUB,0.2094602494336722
1,0.5,10,VI,1.987121567363213
1,0.5,20,SUB,0.19420522246489774
1,0.5,20,VI,1.9879169769205305
1,0.5,30,SUB,0.21689286397084248
1,0.5,30,VI,1.9789280850435005
2,0.0,2,SUB,0.2561593544312981
2,0.0,2,VI,0.22853653364784643
2,0.0,5,SUB,0.04417844271855935
2,0.0,5,VI,0.02712753892878731
2,0.0,10,SUB,0.02535596464315018
2,0.0,10,VI,0.003479232460801254
2,0.0,20,SUB,0.017355107865981163
2,0.0,20,VI,3.7853049588846625e-05
2,0.0,30,SUB,0.01985286368249119
2,0.0,30,VI,2.3292729735369797e-05
